# 0 m/s Windspeed - 84° Launch Angle (Up to date)
# 1055 data points written for 11 variables.
# Simulation warnings:
#   Despliegue del sistema de recuperación con velocidad alta (23.2 m/s):  "SRAD Drogue Ringsail Parachute + Deployment Bag"
#   Despliegue del sistema de recuperación con velocidad alta (22.5 m/s):  "SRAD Main Ringsail Parachute + Deployment Bag"
#
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Velocidad total (m/s),Aceleración vertical (m/s²),Aceleración total (m/s²),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
18.741,3115.089,65.133,69.634,-10.598,10.603,24.629,0.33,-1.814e-6,2.798,-0.018
18.791,3118.332,64.603,69.133,-10.585,10.59,24.613,0.327,-1.813e-6,2.835,-0.018
18.841,3121.549,64.074,68.633,-10.572,10.577,24.596,0.325,-1.812e-6,2.873,-0.017
18.891,3124.739,63.546,68.134,-10.559,10.564,24.58,0.323,-1.813e-6,2.912,-0.016
18.941,3127.903,63.018,67.636,-10.546,10.551,24.564,0.32,-1.811e-6,2.952,-0.013
18.991,3131.041,62.491,67.14,-10.534,10.538,24.548,0.318,-1.81e-6,2.992,-0.01
19.041,3134.153,61.965,66.644,-10.521,10.526,24.532,0.315,-1.809e-6,3.033,-0.008
19.091,3137.238,61.439,66.15,-10.509,10.514,24.517,0.313,-1.81e-6,3.075,-0.005
19.141,3140.297,60.914,65.657,-10.497,10.501,24.501,0.311,-1.811e-6,3.118,-0.001
19.191,3143.329,60.389,65.165,-10.485,10.489,24.485,0.309,-1.809e-6,3.162,0.002
19.241,3146.335,59.865,64.673,-10.473,10.477,24.47,0.306,-1.808e-6,3.207,0.005
19.291,3149.316,59.342,64.184,-10.461,10.465,24.455,0.304,-1.808e-6,3.253,0.008
19.341,3152.27,58.819,63.695,-10.449,10.454,24.44,0.302,-1.806e-6,3.299,0.01
19.391,3155.198,58.297,63.207,-10.438,10.442,24.425,0.3,-1.804e-6,3.347,0.012
19.441,3158.099,57.776,62.72,-10.426,10.431,24.41,0.298,-1.804e-6,3.396,0.013
19.491,3160.975,57.255,62.235,-10.415,10.419,24.395,0.296,-1.805e-6,3.446,0.015
19.541,3163.825,56.734,61.751,-10.404,10.408,24.38,0.293,-1.803e-6,3.496,0.015
19.591,3166.649,56.214,61.268,-10.393,10.397,24.366,0.291,-1.802e-6,3.548,0.016
19.641,3169.446,55.695,60.786,-10.382,10.386,24.351,0.289,-1.804e-6,3.601,0.015
19.691,3172.218,55.176,60.305,-10.371,10.375,24.337,0.287,-1.804e-6,3.654,0.015
19.741,3174.964,54.658,59.825,-10.36,10.364,24.322,0.285,-1.804e-6,3.709,0.014
19.791,3177.684,54.14,59.347,-10.349,10.353,24.308,0.283,-1.805e-6,3.765,0.012
19.841,3180.378,53.623,58.869,-10.339,10.343,24.294,0.281,-1.805e-6,3.822,0.01
19.891,3183.046,53.106,58.393,-10.329,10.332,24.28,0.279,-1.805e-6,3.88,0.008
19.941,3185.689,52.59,57.918,-10.318,10.322,24.266,0.277,-1.808e-6,3.94,0.005
19.991,3188.305,52.074,57.445,-10.308,10.312,24.252,0.275,-1.805e-6,4,0.003
20.041,3190.896,51.559,56.972,-10.298,10.301,24.239,0.273,-1.805e-6,4.062,2.928e-4
20.091,3193.461,51.044,56.501,-10.288,10.291,24.225,0.271,-1.805e-6,4.125,-0.002
20.141,3196,50.53,56.031,-10.278,10.281,24.211,0.269,-1.804e-6,4.189,-0.003
20.191,3198.514,50.017,55.563,-10.268,10.272,24.198,0.267,-1.806e-6,4.255,-0.005
20.241,3201.002,49.504,55.095,-10.258,10.262,24.185,0.265,-1.807e-6,4.321,-0.006
20.291,3203.464,48.991,54.629,-10.249,10.252,24.172,0.264,-1.807e-6,4.39,-0.007
20.341,3205.901,48.479,54.165,-10.239,10.243,24.158,0.262,-1.805e-6,4.459,-0.008
20.391,3208.312,47.967,53.701,-10.23,10.233,24.145,0.26,-1.805e-6,4.53,-0.009
20.441,3210.698,47.456,53.239,-10.221,10.224,24.132,0.258,-1.804e-6,4.602,-0.01
20.491,3213.058,46.945,52.778,-10.211,10.215,24.12,0.256,-1.805e-6,4.676,-0.01
20.541,3215.392,46.434,52.319,-10.202,10.206,24.107,0.255,-1.804e-6,4.752,-0.01
20.591,3217.701,45.925,51.861,-10.193,10.196,24.094,0.253,-1.803e-6,4.829,-0.01
20.641,3219.985,45.415,51.405,-10.184,10.188,24.081,0.251,-1.804e-6,4.907,-0.01
20.691,3222.243,44.906,50.95,-10.176,10.179,24.069,0.25,-1.804e-6,4.988,-0.01
20.741,3224.475,44.398,50.496,-10.167,10.17,24.057,0.248,-1.805e-6,5.07,-0.009
20.791,3226.683,43.889,50.044,-10.158,10.161,24.044,0.246,-1.806e-6,5.153,-0.009
20.841,3228.864,43.382,49.593,-10.15,10.153,24.032,0.245,-1.806e-6,5.239,-0.008
20.891,3231.021,42.874,49.144,-10.141,10.144,24.02,0.243,-1.807e-6,5.327,-0.007
20.941,3233.152,42.368,48.697,-10.133,10.136,24.008,0.242,-1.807e-6,5.416,-0.007
20.991,3235.258,41.861,48.251,-10.124,10.127,23.996,0.24,-1.809e-6,5.508,-0.006
21.041,3237.338,41.355,47.807,-10.116,10.119,23.984,0.239,-1.808e-6,5.601,-0.005
21.091,3239.393,40.85,47.364,-10.108,10.111,23.972,0.237,-1.808e-6,5.696,-0.004
21.141,3241.423,40.344,46.923,-10.1,10.103,23.96,0.236,-1.806e-6,5.794,-0.003
21.191,3243.428,39.84,46.483,-10.092,10.095,23.948,0.234,-1.808e-6,5.893,-0.002
21.241,3245.407,39.335,46.046,-10.084,10.087,23.936,0.233,-1.809e-6,5.995,-0.001
21.291,3247.361,38.831,45.61,-10.076,10.079,23.925,0.232,-1.81e-6,6.099,-1.314e-4
21.341,3249.29,38.328,45.176,-10.068,10.071,23.913,0.23,-1.809e-6,6.205,7.924e-4
21.391,3251.194,37.824,44.743,-10.061,10.063,23.902,0.229,-1.808e-6,6.313,0.002
21.441,3253.072,37.322,44.313,-10.053,10.056,23.89,0.228,-1.811e-6,6.424,0.002
21.491,3254.926,36.819,43.885,-10.046,10.048,23.879,0.226,-1.812e-6,6.537,0.003
21.541,3256.754,36.317,43.458,-10.038,10.041,23.868,0.225,-1.811e-6,6.653,0.004
21.591,3258.558,35.815,43.033,-10.031,10.033,23.857,0.224,-1.813e-6,6.771,0.004
21.641,3260.336,35.314,42.611,-10.023,10.026,23.845,0.223,-1.812e-6,6.892,0.005
21.691,3262.089,34.813,42.19,-10.016,10.019,23.834,0.221,-1.812e-6,7.015,0.006
21.741,3263.817,34.312,41.772,-10.009,10.011,23.823,0.22,-1.812e-6,7.141,0.006
21.791,3265.52,33.812,41.355,-10.002,10.004,23.812,0.219,-1.811e-6,7.27,0.007
21.841,3267.198,33.312,40.941,-9.995,9.997,23.801,0.218,-1.809e-6,7.402,0.007
21.891,3268.852,32.813,40.53,-9.988,9.99,23.79,0.217,-1.807e-6,7.536,0.007
21.941,3270.48,32.313,40.12,-9.981,9.983,23.78,0.216,-1.806e-6,7.673,0.007
21.991,3272.083,31.814,39.713,-9.974,9.976,23.769,0.215,-1.803e-6,7.813,0.007
22.041,3273.661,31.316,39.308,-9.967,9.969,23.758,0.214,-1.803e-6,7.956,0.007
22.091,3275.215,30.818,38.906,-9.96,9.962,23.747,0.213,-1.8e-6,8.102,0.007
22.141,3276.743,30.32,38.506,-9.953,9.956,23.737,0.212,-1.8e-6,8.251,0.007
22.191,3278.247,29.822,38.109,-9.947,9.949,23.726,0.211,-1.799e-6,8.404,0.006
22.241,3279.725,29.325,37.715,-9.94,9.942,23.716,0.21,-1.798e-6,8.559,0.006
22.291,3281.179,28.828,37.323,-9.933,9.936,23.705,0.209,-1.799e-6,8.718,0.005
22.341,3282.608,28.332,36.934,-9.927,9.929,23.695,0.208,-1.801e-6,8.88,0.005
22.391,3284.012,27.836,36.548,-9.92,9.922,23.684,0.208,-1.801e-6,9.045,0.004
22.441,3285.392,27.34,36.165,-9.914,9.916,23.674,0.207,-1.801e-6,9.214,0.004
22.491,3286.746,26.844,35.785,-9.907,9.909,23.664,0.206,-1.8e-6,9.386,0.003
22.541,3288.076,26.349,35.409,-9.901,9.903,23.653,0.205,-1.798e-6,9.561,0.003
22.591,3289.381,25.854,35.035,-9.894,9.897,23.643,0.205,-1.8e-6,9.74,0.002
22.641,3290.662,25.36,34.665,-9.888,9.89,23.633,0.204,-1.801e-6,9.923,0.002
22.691,3291.917,24.866,34.298,-9.882,9.884,23.623,0.203,-1.804e-6,10.109,0.001
22.741,3293.148,24.372,33.934,-9.875,9.878,23.613,0.202,-1.803e-6,10.299,6.194e-4
22.791,3294.354,23.878,33.574,-9.869,9.871,23.603,0.202,-1.802e-6,10.492,1.03e-4
22.841,3295.536,23.385,33.218,-9.863,9.865,23.592,0.201,-1.804e-6,10.69,-3.84e-4
22.891,3296.693,22.892,32.866,-9.857,9.859,23.582,0.2,-1.803e-6,10.891,-7.899e-4
22.941,3297.825,22.399,32.517,-9.85,9.852,23.572,0.2,-1.801e-6,11.096,-0.001
22.991,3298.933,21.907,32.173,-9.844,9.846,23.562,0.199,-1.801e-6,11.304,-0.002
23.041,3300.016,21.415,31.832,-9.838,9.84,23.553,0.199,-1.8e-6,11.517,-0.002
23.091,3301.074,20.923,31.496,-9.832,9.834,23.543,0.198,-1.799e-6,11.733,-0.002
23.141,3302.108,20.431,31.165,-9.826,9.828,23.533,0.197,-1.8e-6,11.953,-0.003
23.191,3303.117,19.94,30.837,-9.819,9.821,23.523,0.197,-1.799e-6,12.178,-0.003
23.241,3304.102,19.449,30.515,-9.813,9.815,23.513,0.196,-1.798e-6,12.406,-0.003
23.291,3305.062,18.959,30.197,-9.807,9.809,23.503,0.195,-1.799e-6,12.638,-0.003
23.341,3305.998,18.469,29.884,-9.801,9.803,23.494,0.195,-1.798e-6,12.874,-0.003
23.391,3306.909,17.979,29.576,-9.795,9.797,23.484,0.194,-1.798e-6,13.113,-0.004
23.441,3307.796,17.489,29.273,-9.789,9.79,23.474,0.194,-1.798e-6,13.357,-0.004
23.491,3308.658,17,28.976,-9.782,9.784,23.464,0.193,-1.8e-6,13.605,-0.004
23.541,3309.496,16.511,28.684,-9.776,9.778,23.455,0.192,-1.799e-6,13.856,-0.004
23.591,3310.309,16.022,28.397,-9.77,9.772,23.445,0.192,-1.797e-6,14.112,-0.004
23.641,3311.098,15.534,28.116,-9.764,9.766,23.436,0.191,-1.797e-6,14.371,-0.004
23.691,3311.863,15.046,27.842,-9.757,9.759,23.426,0.19,-1.797e-6,14.634,-0.004
23.741,3312.603,14.558,27.573,-9.751,9.753,23.417,0.189,-1.796e-6,14.901,-0.004
23.791,3313.318,14.071,27.311,-9.745,9.747,23.407,0.188,-1.797e-6,15.171,-0.004
23.841,3314.01,13.584,27.055,-9.739,9.741,23.398,0.188,-1.798e-6,15.445,-0.004
23.891,3314.677,13.097,26.806,-9.732,9.734,23.388,0.187,-1.8e-6,15.723,-0.004
23.941,3315.32,12.611,26.563,-9.726,9.728,23.379,0.186,-1.803e-6,16.004,-0.004
23.991,3315.938,12.124,26.328,-9.72,9.722,23.37,0.185,-1.804e-6,16.289,-0.004
24.041,3316.532,11.639,26.099,-9.714,9.715,23.361,0.183,-1.806e-6,16.576,-0.004
24.091,3317.102,11.153,25.878,-9.707,9.709,23.352,0.182,-1.807e-6,16.867,-0.004
24.141,3317.647,10.668,25.665,-9.701,9.703,23.342,0.181,-1.805e-6,17.161,-0.003
24.191,3318.169,10.183,25.459,-9.695,9.697,23.333,0.18,-1.804e-6,17.458,-0.003
24.241,3318.666,9.698,25.26,-9.689,9.69,23.324,0.178,-1.804e-6,17.757,-0.003
24.291,3319.138,9.214,25.07,-9.683,9.684,23.316,0.177,-1.803e-6,18.06,-0.003
24.341,3319.587,8.73,24.888,-9.676,9.678,23.307,0.175,-1.804e-6,18.364,-0.003
24.391,3320.011,8.246,24.715,-9.67,9.672,23.298,0.173,-1.804e-6,18.671,-0.003
24.441,3320.412,7.763,24.549,-9.664,9.666,23.29,0.171,-1.804e-6,18.98,-0.003
24.491,3320.788,7.28,24.393,-9.658,9.66,23.281,0.169,-1.806e-6,19.29,-0.003
24.541,3321.14,6.797,24.245,-9.652,9.654,23.273,0.167,-1.808e-6,19.602,-0.002
24.591,3321.467,6.315,24.106,-9.647,9.648,23.264,0.164,-1.807e-6,19.915,-0.002
24.641,3321.771,5.833,23.976,-9.641,9.642,23.256,0.162,-1.808e-6,20.23,-0.002
24.691,3322.051,5.351,23.856,-9.636,9.637,23.248,0.159,-1.808e-6,20.544,-0.002
24.741,3322.306,4.869,23.745,-9.63,9.631,23.24,0.156,-1.806e-6,20.86,-0.002
24.791,3322.538,4.388,23.643,-9.625,9.626,23.233,0.153,-1.805e-6,21.175,-0.002
24.841,3322.745,3.906,23.551,-9.62,9.621,23.225,0.15,-1.805e-6,21.489,-0.001
24.891,3322.928,3.426,23.469,-9.615,9.617,23.218,0.147,-1.805e-6,21.803,-0.001
24.941,3323.088,2.945,23.396,-9.611,9.612,23.21,0.143,-1.807e-6,22.116,-0.001
24.991,3323.223,2.464,23.334,-9.607,9.608,23.203,0.14,-1.809e-6,22.426,-0.001
25.041,3323.334,1.984,23.281,-9.603,9.604,23.196,0.136,-1.81e-6,22.735,-8.528e-4
25.091,3323.421,1.504,23.238,-9.6,9.601,23.19,0.132,-1.811e-6,23.04,-6.756e-4
25.141,3323.484,1.024,23.206,-9.597,9.597,23.183,0.128,-1.81e-6,23.342,-5.417e-4
25.191,3323.524,0.545,23.183,-9.594,9.595,23.177,0.124,-1.81e-6,23.64,-3.375e-4
25.241,3323.539,0.065,23.171,-9.592,9.593,23.171,0.12,-1.811e-6,23.933,-1.892e-4
# Event APOGEE occurred at t=25.291 seconds
25.291,3323.53,-0.415,23.168,-9.59,9.591,23.165,0.116,-1.812e-6,24.221,-2.446e-5
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.292 seconds
# Event SIM_WARN occurred at t=25.341 seconds: Despliegue del sistema de recuperación con velocidad alta (23.2 m/s):  "SRAD Drogue Ringsail Parachute + Deployment Bag"
25.341,3323.497,-0.894,23.176,-9.484,12.26,23.159,7.77,NaN,NaN,NaN
25.423,3323.393,-1.668,22.587,-9.239,11.815,22.525,7.365,NaN,NaN,NaN
25.508,3323.219,-2.45,22.039,-9.002,11.396,21.902,6.987,NaN,NaN,NaN
25.595,3322.969,-3.24,21.534,-8.774,11.001,21.289,6.636,NaN,NaN,NaN
25.686,3322.638,-4.037,21.076,-8.552,10.629,20.686,6.311,NaN,NaN,NaN
25.78,3322.221,-4.842,20.667,-8.335,10.276,20.092,6.011,NaN,NaN,NaN
25.878,3321.71,-5.653,20.309,-8.121,9.942,19.507,5.735,NaN,NaN,NaN
25.978,3321.1,-6.47,20.005,-7.909,9.624,18.93,5.483,NaN,NaN,NaN
26.082,3320.385,-7.292,19.755,-7.698,9.318,18.36,5.251,NaN,NaN,NaN
26.19,3319.559,-8.118,19.561,-7.484,9.023,17.797,5.04,NaN,NaN,NaN
26.3,3318.613,-8.947,19.422,-7.267,8.735,17.238,4.848,NaN,NaN,NaN
26.415,3317.541,-9.779,19.338,-7.044,8.453,16.683,4.672,NaN,NaN,NaN
26.533,3316.335,-10.612,19.308,-6.815,8.172,16.13,4.511,NaN,NaN,NaN
26.656,3314.985,-11.446,19.331,-6.577,7.892,15.578,4.362,NaN,NaN,NaN
26.782,3313.482,-12.28,19.405,-6.33,7.61,15.026,4.224,NaN,NaN,NaN
26.914,3311.814,-13.111,19.527,-6.072,7.323,14.471,4.094,NaN,NaN,NaN
27.05,3309.967,-13.941,19.695,-5.803,7.031,13.912,3.97,NaN,NaN,NaN
27.192,3307.925,-14.766,19.904,-5.521,6.731,13.347,3.85,NaN,NaN,NaN
27.341,3305.671,-15.586,20.153,-5.227,6.423,12.775,3.732,NaN,NaN,NaN
27.497,3303.181,-16.4,20.437,-4.921,6.105,12.194,3.613,NaN,NaN,NaN
27.66,3300.428,-17.206,20.752,-4.601,5.776,11.602,3.492,NaN,NaN,NaN
27.834,3297.381,-18.003,21.096,-4.27,5.437,10.998,3.366,NaN,NaN,NaN
28.018,3293.997,-18.788,21.464,-3.927,5.086,10.379,3.232,NaN,NaN,NaN
28.214,3290.227,-19.56,21.852,-3.573,4.724,9.743,3.09,NaN,NaN,NaN
28.426,3286.007,-20.316,22.257,-3.211,4.352,9.089,2.937,NaN,NaN,NaN
28.656,3281.253,-21.054,22.673,-2.841,3.969,8.414,2.771,NaN,NaN,NaN
28.908,3275.858,-21.77,23.097,-2.467,3.577,7.716,2.59,NaN,NaN,NaN
29.187,3269.675,-22.46,23.523,-2.091,3.177,6.992,2.391,NaN,NaN,NaN
29.502,3262.501,-23.118,23.945,-1.717,2.77,6.239,2.174,NaN,NaN,NaN
29.863,3254.044,-23.738,24.356,-1.351,2.359,5.454,1.934,NaN,NaN,NaN
30.287,3243.861,-24.311,24.748,-0.999,1.947,4.634,1.671,NaN,NaN,NaN
30.787,3231.581,-24.81,25.099,-0.68,1.548,3.799,1.39,NaN,NaN,NaN
31.287,3219.091,-25.15,25.341,-0.454,1.234,3.103,1.148,NaN,NaN,NaN
31.787,3206.459,-25.377,25.503,-0.297,0.988,2.53,0.942,NaN,NaN,NaN
32.287,3193.733,-25.526,25.609,-0.19,0.793,2.058,0.77,NaN,NaN,NaN
32.787,3180.946,-25.621,25.676,-0.116,0.639,1.673,0.628,NaN,NaN,NaN
33.287,3168.121,-25.679,25.715,-0.067,0.515,1.359,0.511,NaN,NaN,NaN
33.787,3155.273,-25.712,25.736,-0.033,0.417,1.104,0.415,NaN,NaN,NaN
34.287,3142.413,-25.729,25.744,-0.011,0.337,0.896,0.337,NaN,NaN,NaN
34.787,3129.547,-25.734,25.745,0.004,0.273,0.728,0.273,NaN,NaN,NaN
35.287,3116.681,-25.732,25.739,0.014,0.222,0.591,0.222,NaN,NaN,NaN
35.787,3103.816,-25.725,25.73,0.021,0.181,0.48,0.18,NaN,NaN,NaN
36.287,3090.956,-25.715,25.718,0.026,0.148,0.39,0.146,NaN,NaN,NaN
36.787,3078.102,-25.702,25.703,0.029,0.122,0.317,0.118,NaN,NaN,NaN
37.287,3065.255,-25.687,25.688,0.032,0.101,0.258,0.095,NaN,NaN,NaN
37.787,3052.416,-25.671,25.672,0.033,0.084,0.211,0.077,NaN,NaN,NaN
38.287,3039.584,-25.655,25.655,0.034,0.071,0.172,0.063,NaN,NaN,NaN
38.787,3026.761,-25.638,25.638,0.034,0.061,0.141,0.051,NaN,NaN,NaN
39.287,3013.947,-25.621,25.621,0.035,0.054,0.115,0.041,NaN,NaN,NaN
39.787,3001.141,-25.603,25.603,0.035,0.048,0.095,0.033,NaN,NaN,NaN
40.287,2988.343,-25.586,25.586,0.035,0.044,0.078,0.027,NaN,NaN,NaN
40.787,2975.555,-25.568,25.569,0.035,0.041,0.065,0.022,NaN,NaN,NaN
41.287,2962.775,-25.551,25.551,0.035,0.039,0.054,0.018,NaN,NaN,NaN
41.787,2950.004,-25.534,25.534,0.035,0.038,0.045,0.014,NaN,NaN,NaN
42.287,2937.241,-25.516,25.516,0.035,0.036,0.038,0.011,NaN,NaN,NaN
42.787,2924.488,-25.499,25.499,0.035,0.036,0.032,0.009,NaN,NaN,NaN
43.287,2911.742,-25.482,25.482,0.034,0.035,0.028,0.008,NaN,NaN,NaN
43.787,2899.006,-25.464,25.464,0.034,0.035,0.024,0.006,NaN,NaN,NaN
44.287,2886.278,-25.447,25.447,0.034,0.035,0.021,0.005,NaN,NaN,NaN
44.787,2873.559,-25.43,25.43,0.034,0.034,0.019,0.004,NaN,NaN,NaN
45.287,2860.848,-25.413,25.413,0.034,0.034,0.017,0.003,NaN,NaN,NaN
45.787,2848.146,-25.396,25.396,0.034,0.034,0.015,0.003,NaN,NaN,NaN
46.287,2835.452,-25.379,25.379,0.034,0.034,0.014,0.002,NaN,NaN,NaN
46.787,2822.766,-25.362,25.362,0.034,0.034,0.013,0.002,NaN,NaN,NaN
47.287,2810.089,-25.345,25.345,0.034,0.034,0.012,0.001,NaN,NaN,NaN
47.787,2797.421,-25.329,25.329,0.033,0.033,0.011,0.001,NaN,NaN,NaN
48.287,2784.761,-25.312,25.312,0.033,0.033,0.01,9.018e-4,NaN,NaN,NaN
48.787,2772.109,-25.295,25.295,0.033,0.033,0.01,7.316e-4,NaN,NaN,NaN
49.287,2759.465,-25.279,25.279,0.033,0.033,0.01,5.941e-4,NaN,NaN,NaN
49.787,2746.83,-25.262,25.262,0.033,0.033,0.009,4.832e-4,NaN,NaN,NaN
50.287,2734.203,-25.246,25.246,0.033,0.033,0.009,3.937e-4,NaN,NaN,NaN
50.787,2721.585,-25.229,25.229,0.033,0.033,0.009,3.214e-4,NaN,NaN,NaN
51.287,2708.974,-25.213,25.213,0.033,0.033,0.009,2.632e-4,NaN,NaN,NaN
51.787,2696.372,-25.196,25.196,0.033,0.033,0.009,2.161e-4,NaN,NaN,NaN
52.287,2683.778,-25.18,25.18,0.032,0.032,0.009,1.782e-4,NaN,NaN,NaN
52.787,2671.192,-25.164,25.164,0.032,0.032,0.008,1.476e-4,NaN,NaN,NaN
53.287,2658.614,-25.148,25.148,0.032,0.032,0.008,1.229e-4,NaN,NaN,NaN
53.787,2646.044,-25.132,25.132,0.032,0.032,0.008,1.03e-4,NaN,NaN,NaN
54.287,2633.482,-25.115,25.115,0.032,0.032,0.008,8.694e-5,NaN,NaN,NaN
54.787,2620.929,-25.099,25.099,0.032,0.032,0.008,7.398e-5,NaN,NaN,NaN
55.287,2608.383,-25.083,25.083,0.032,0.032,0.008,6.353e-5,NaN,NaN,NaN
55.787,2595.845,-25.067,25.067,0.032,0.032,0.008,5.533e-5,NaN,NaN,NaN
56.287,2583.315,-25.051,25.051,0.033,0.033,0.008,4.874e-5,NaN,NaN,NaN
56.787,2570.794,-25.035,25.035,0.033,0.033,0.008,4.342e-5,NaN,NaN,NaN
57.287,2558.281,-25.018,25.018,0.033,0.033,0.008,3.912e-5,NaN,NaN,NaN
57.787,2545.776,-25.002,25.002,0.033,0.033,0.008,3.563e-5,NaN,NaN,NaN
58.287,2533.279,-24.985,24.985,0.033,0.033,0.008,3.281e-5,NaN,NaN,NaN
58.787,2520.791,-24.968,24.968,0.033,0.033,0.008,3.053e-5,NaN,NaN,NaN
59.287,2508.311,-24.952,24.952,0.033,0.033,0.008,2.867e-5,NaN,NaN,NaN
59.787,2495.839,-24.935,24.935,0.033,0.033,0.008,2.717e-5,NaN,NaN,NaN
60.287,2483.376,-24.919,24.919,0.033,0.033,0.008,2.594e-5,NaN,NaN,NaN
60.787,2470.92,-24.902,24.902,0.033,0.033,0.008,2.493e-5,NaN,NaN,NaN
61.287,2458.473,-24.886,24.886,0.033,0.033,0.008,2.411e-5,NaN,NaN,NaN
61.787,2446.034,-24.87,24.87,0.033,0.033,0.008,2.343e-5,NaN,NaN,NaN
62.287,2433.604,-24.853,24.853,0.032,0.032,0.008,2.287e-5,NaN,NaN,NaN
62.787,2421.181,-24.837,24.837,0.032,0.032,0.008,2.24e-5,NaN,NaN,NaN
63.287,2408.767,-24.821,24.821,0.032,0.032,0.008,2.201e-5,NaN,NaN,NaN
63.787,2396.36,-24.805,24.805,0.032,0.032,0.008,2.168e-5,NaN,NaN,NaN
64.287,2383.962,-24.789,24.789,0.032,0.032,0.008,2.14e-5,NaN,NaN,NaN
64.787,2371.572,-24.773,24.773,0.032,0.032,0.008,2.116e-5,NaN,NaN,NaN
65.287,2359.189,-24.757,24.757,0.032,0.032,0.008,2.095e-5,NaN,NaN,NaN
65.787,2346.815,-24.741,24.741,0.032,0.032,0.008,2.077e-5,NaN,NaN,NaN
66.287,2334.449,-24.725,24.725,0.032,0.032,0.008,2.061e-5,NaN,NaN,NaN
66.787,2322.09,-24.709,24.709,0.032,0.032,0.008,2.047e-5,NaN,NaN,NaN
67.287,2309.74,-24.693,24.693,0.031,0.031,0.008,2.034e-5,NaN,NaN,NaN
67.787,2297.397,-24.677,24.677,0.031,0.031,0.008,2.022e-5,NaN,NaN,NaN
68.287,2285.062,-24.662,24.662,0.031,0.031,0.008,2.011e-5,NaN,NaN,NaN
68.787,2272.735,-24.646,24.646,0.031,0.031,0.008,2e-5,NaN,NaN,NaN
69.287,2260.416,-24.631,24.631,0.031,0.031,0.008,1.99e-5,NaN,NaN,NaN
69.787,2248.104,-24.615,24.615,0.031,0.031,0.008,1.981e-5,NaN,NaN,NaN
70.287,2235.801,-24.6,24.6,0.031,0.031,0.008,1.972e-5,NaN,NaN,NaN
70.787,2223.505,-24.584,24.584,0.031,0.031,0.008,1.964e-5,NaN,NaN,NaN
71.287,2211.217,-24.569,24.569,0.031,0.031,0.008,1.955e-5,NaN,NaN,NaN
71.787,2198.936,-24.553,24.553,0.031,0.031,0.008,1.947e-5,NaN,NaN,NaN
72.287,2186.663,-24.538,24.538,0.03,0.03,0.008,1.939e-5,NaN,NaN,NaN
72.787,2174.398,-24.523,24.523,0.03,0.03,0.008,1.932e-5,NaN,NaN,NaN
73.287,2162.14,-24.508,24.508,0.03,0.03,0.008,1.924e-5,NaN,NaN,NaN
73.787,2149.89,-24.493,24.493,0.03,0.03,0.008,1.917e-5,NaN,NaN,NaN
74.287,2137.648,-24.477,24.477,0.03,0.03,0.008,1.909e-5,NaN,NaN,NaN
74.787,2125.413,-24.462,24.462,0.03,0.03,0.008,1.902e-5,NaN,NaN,NaN
75.287,2113.185,-24.447,24.447,0.03,0.03,0.008,1.895e-5,NaN,NaN,NaN
75.787,2100.965,-24.432,24.432,0.03,0.03,0.008,1.9e-5,NaN,NaN,NaN
76.287,2088.753,-24.417,24.417,0.031,0.031,0.008,1.915e-5,NaN,NaN,NaN
76.787,2076.548,-24.402,24.402,0.031,0.031,0.008,1.925e-5,NaN,NaN,NaN
77.287,2064.351,-24.386,24.386,0.031,0.031,0.008,1.932e-5,NaN,NaN,NaN
77.787,2052.161,-24.371,24.371,0.031,0.031,0.008,1.936e-5,NaN,NaN,NaN
78.287,2039.98,-24.355,24.355,0.031,0.031,0.008,1.938e-5,NaN,NaN,NaN
78.787,2027.806,-24.34,24.34,0.031,0.031,0.008,1.938e-5,NaN,NaN,NaN
79.287,2015.64,-24.324,24.324,0.031,0.031,0.008,1.936e-5,NaN,NaN,NaN
79.787,2003.482,-24.309,24.309,0.031,0.031,0.008,1.933e-5,NaN,NaN,NaN
80.287,1991.332,-24.293,24.293,0.031,0.031,0.008,1.93e-5,NaN,NaN,NaN
80.787,1979.189,-24.278,24.278,0.031,0.031,0.008,1.925e-5,NaN,NaN,NaN
81.287,1967.054,-24.262,24.262,0.031,0.031,0.008,1.92e-5,NaN,NaN,NaN
81.787,1954.927,-24.247,24.247,0.031,0.031,0.008,1.915e-5,NaN,NaN,NaN
82.287,1942.807,-24.232,24.232,0.031,0.031,0.008,1.909e-5,NaN,NaN,NaN
82.787,1930.695,-24.216,24.216,0.03,0.03,0.008,1.903e-5,NaN,NaN,NaN
83.287,1918.591,-24.201,24.201,0.03,0.03,0.008,1.897e-5,NaN,NaN,NaN
83.787,1906.494,-24.186,24.186,0.03,0.03,0.007,1.891e-5,NaN,NaN,NaN
84.287,1894.405,-24.171,24.171,0.03,0.03,0.007,1.884e-5,NaN,NaN,NaN
84.787,1882.323,-24.156,24.156,0.03,0.03,0.007,1.878e-5,NaN,NaN,NaN
85.287,1870.249,-24.141,24.141,0.03,0.03,0.007,1.871e-5,NaN,NaN,NaN
