4.3809,2186.2108,917.0818,790.4901
4.394,2198.2122,916.5915,790.138
4.4136,2216.2009,915.7183,789.6102
4.4431,2243.1489,914.189,788.8196
4.455,2254.0356,913.4956,788.5002
4.4729,2270.3497,912.3953,788.0216
4.4997,2294.7827,910.6407,787.3048
4.519,2312.3688,909.2986,786.7888
4.548,2338.6985,907.2396,786.0164
4.5915,2378.0813,904.1611,784.861
4.6415,2423.2012,900.6383,783.5372
4.6915,2468.1455,897.1358,782.2186
4.7415,2512.9152,893.656,780.9052
4.7915,2557.5115,890.2,779.5968
4.8415,2601.9356,886.7669,778.2935
4.8915,2646.1885,883.3536,776.9952
4.9415,2690.2713,879.9589,775.7019
4.9915,2734.1847,876.581,774.4136
5.0415,2777.9296,873.2191,773.1302
5.0915,2821.5068,869.8711,771.8517
5.1415,2864.917,866.5372,770.5781
5.1915,2908.1608,863.2174,769.3094
5.2415,2951.239,859.9136,768.0456
5.2915,2994.1525,856.6292,766.7866
5.3415,3036.9022,853.3648,765.5324
5.3915,3079.4893,850.1209,764.283
5.4415,3121.9146,846.8965,763.0383
5.4915,3164.1792,843.6895,761.7983
5.5415,3206.2839,840.4989,760.5631
5.5915,3248.2294,837.3232,759.3324
5.6415,3290.0164,834.1597,758.1065
5.6915,3331.6455,831.0067,756.8852
5.7415,3373.1172,827.8646,755.6685
5.7915,3414.4322,824.7342,754.4564
5.8415,3455.5909,821.6175,753.2489
5.8915,3496.5942,818.5167,752.0459
5.9415,3537.4429,815.4341,750.8475
5.9915,3578.1379,812.3703,749.6536
6.0415,3618.6802,809.3237,748.4641
6.0915,3659.0706,806.294,747.2791
6.1415,3699.3098,803.2782,746.1346
6.1915,3739.3986,800.2751,745.0168
6.2415,3779.3375,797.284,743.9032
6.2915,3819.1272,794.3035,742.7938
6.3415,3858.7681,791.3347,741.6885
6.3915,3898.2608,788.377,740.5873
6.4415,3937.606,785.4301,739.4902
6.4915,3976.804,782.494,738.3973
6.5415,4015.8556,779.5707,737.3084
6.5915,4054.7613,776.6617,736.2236
6.6415,4093.522,773.7674,735.1428
6.6915,4132.1383,770.8869,734.0661
6.7415,4170.6109,768.02,732.9933
6.7915,4208.9405,765.1664,731.9246
6.8415,4247.1277,762.3243,730.8598
6.8915,4285.1731,759.4923,729.799
6.9415,4323.0772,756.6716,728.7421
6.9915,4360.8404,753.8612,727.6892
7.0415,4398.4634,751.0599,726.6401
7.0915,4435.9466,748.2683,725.595
7.1415,4473.2904,745.4881,724.5537
7.1915,4510.4956,742.7202,723.5163
7.2415,4547.5627,739.9636,722.4828
7.2915,4584.4921,737.2163,721.4531
7.3415,4621.2845,734.4788,720.4272
7.3915,4657.9402,731.7527,719.4051
7.4415,4694.4599,729.0389,718.3868
7.4915,4730.8443,726.3364,717.3723
7.5415,4767.0937,723.6445,716.3616
7.5915,4803.2089,720.9613,715.3546
7.6415,4839.19,718.2868,714.3513
7.6915,4875.0377,715.6216,713.3518
7.7415,4910.7523,712.9656,712.3559
7.7915,4946.3344,710.319,711.3638
7.8415,4981.7844,707.6814,710.3753
7.8915,5017.1027,705.0536,709.3906
7.9415,5052.2899,702.4363,708.4094
7.9915,5087.3465,699.8297,707.432
8.0415,5122.2731,697.233,706.4581
8.0915,5157.07,694.6459,705.4879
8.1415,5191.7378,692.068,704.5212
8.1915,5226.2769,689.4993,703.5582
8.2415,5260.6879,686.9392,702.5987
8.2915,5294.971,684.3878,701.6428
8.3415,5329.1268,681.8444,700.7102
8.3915,5363.1556,679.3084,699.809
8.4415,5397.0577,676.7796,698.9111
8.4915,5430.8336,674.258,698.0166
8.5415,5464.4837,671.7444,697.1254
8.5915,5498.0082,669.2395,696.2376
8.6415,5531.4078,666.7433,695.353
8.6915,5564.6827,664.2554,694.4718
8.7415,5597.8335,661.7765,693.5938
8.7915,5630.8605,659.3067,692.7191
8.8415,5663.7643,656.8446,691.8477
